ModelID,ModelName,InputCostPerThousandTokens,OutputCostPerThousandTokens
us.anthropic.claude-haiku-4-5-20251001-v1:0,Claude Haiku 4.5,0.001,0.005
us.anthropic.claude-sonnet-4-20250514-v1:0,Claude Sonnet 4,0.003,0.015
us.anthropic.claude-sonnet-4-5-20250929-v1:0,Claude Sonnet 4.5,0.003,0.015
us.anthropic.claude-sonnet-4-6,Claude Sonnet 4.6,0.003,0.015
us.anthropic.claude-opus-4-5-20251101-v1:0,Claude Opus 4.5,0.015,0.075
mistral.mistral-7b-instruct-v0:2,Mistral 7B,0.00015,0.0002
mistral.mixtral-8x7b-instruct-v0:1,Mixtral 8*7B,0.00045,0.0007
mistral.mistral-large-2402-v1:0,Mistral Large,0.008,0.024
gpt-3.5-turbo,GPT-3.5-Turbo-0125,0.0005,0.0015
gpt-3.5-turbo-1106,GPT-3.5-Turbo-1106,0.001,0.002
gpt-35-turbo,GPT-3.5-Turbo,0.0005,0.0015
gpt-4-1106-preview,GPT-4-Turbo,0.01,0.03
text-embedding-ada-002,Ada,0.0001,
text-embedding-3-large,text-embedding-3-large,0.00013,
text-embedding-3-small,text-embedding-3-small,0.00002,
